所述 的 导入 篮 ( 13 ) 在 方导柱 ( 10 ) 上 可作 垂直 运动 。 ||| the introduction of the basket ( 13 ) in the 方导柱 ( 10 ) can be done on the vertical movement .
通过 本发明 提升 了 用户 的 体验 。 ||| by lifting the experience of the users according to the present invention .
以上 方案 通过 将 相同 或 相似 的 商品 进行 聚 类 , 减少 用户 的 进一步 筛选 操作 , 提高 搜索 效率 , 节约 网络流量 ; 同时 , 减少 了 客户端 向 服务器 发起 访问 请求 次数 , 从而 减轻 了 服务器 的 处理 压力 , 以及 减少 了 占用 的 网络带宽 , 提升 了 网络 传输速度 , 避免 造成 网络 堵塞 。 ||| the above scheme by the same or a similar commercially available were clustered further decreases the user 's selection operation , improve searching efficiency , conserving network traffic ; at the same time , reducing the originated access requests from the client to the server , thereby alleviating the number of the server , and the process pressure is reduced , the network bandwidth is occupied by lifting the network transmission speed , to avoid clogging of the network .
而且 操作过程 中 不 需要 增加 其它 输入 设备 , 占用 空间 小 , 操作 灵活 方便 。 ||| and the operation need not be added in other input devices occupying minimal space , is flexible to facilitate operation .
通过 本发明 , 达到 了 Android 系统 的 应用层 通过 访问 接口 直接 操作 驱动 层 闪存 的 二进制 分区 , 进行 数据 访问 的 效果 。 ||| by the present invention , the application layer of the android system is achieved by operating the driving layer directly access interface flash memory of a binary partition , the effect of the data access is made .
本发明 提供 一种 印刷 电路板 ( PCB ) , 以 实现 小 尺寸 的 蜂窝 网络通信 模块 , 方便 携带 。 ||| the present invention provides a printed circuit board ( pcb ) , to achieve a smaller size of the cellular network communication module , it is convenient to carry .
该 装置 包括 : 本体 ( 61 ) 、 左 目镜 ( 62 L ) 、 右 目镜 ( 62 R ) 、 目镜 调节 机构 、 暗箱 ( 63 ) 和 置 片 架 ( 64 ) 。 ||| the apparatus comprising : a body ( 61 ) , a left eyepiece ( 62 l ) and right eyepiece ( 62 r ) , an eyepiece adjustment mechanism , the chamber ( 63 ) and set slideholder ( 64 ) .
该 方法 通过 配置 清点 指令 发送 控制参数 , 对 标签 进行 预 碰撞 处理 , 减小 多 标签 碰撞 的 概率 , 解决 ISO18000 - 6 B 协议 中 多 标签 碰撞 导致 阅读器 以为 场内 无 标签 而 结束 访问 流程 的 问题 , 提高 阅读器 的 多 标签 识别 效率 。 ||| the method is effected by configuring the inventorying command sent to the tags , control parameters are pre- crash handling multiple tag , and reduce the probability of collision is solved in the iso 18000-6 b protocols for multiple tag collisions result in no tag reader within a field , and the end of the access flow problems , increasing the efficiency of the multiple tag identification reader .
本发明 的 有益 效果 是 : 提高 了 在 大 电流 整流器 阀 柜 强磁场 高 振动 下 的 熔断器 状态 检测 的 准确性 , 减少 了 整流 柜 体内 的 配线 量 , 大大 节约 了 生产成本 ; 降低 了 设备 的 复杂性 , 提高 了 设备 的 抗干扰性 , 使 设备 运行 更加 可靠 。 ||| the beneficial effects of the present invention are : increasing the high current rectifier valve cabinet in a strong magnetic field under high vibration of the fuse state detection accuracy , reduces the amount of wiring in vivo rectifying cabinet , substantial savings in operating costs ; reduces apparatus , increases the complexity of the interference immunity of the device , the device operates more reliable .
提供 了 一种 具有 物理 隔离 特征 的 测试 装置 。 ||| there is provided a physical isolation features having a test device .
本发明 涉及 一种 体系 仿真 方法 和 系统 。 ||| the invention relates to a system simulation method and system .
应用 本发明 提供 的 方法 和 装置 , 能够 解决 键盘 面积 受到 终端 体积 影响 而 无法 灵活 操控 的 问题 。 ||| the present invention provides the use of the method and apparatus can be solved by terminal keyboard area and volume effect cannot be flexibly handling problems .
其中 , 所述 基于 按 需 计算 的 分析 因子 的 数据分析 装置 包括 配置 模块 、 数据 抽取 模块 、 分析 因子 计算 模块 、 数据分析 处理 模块 以及 分析 结果 输出模块 。 ||| wherein the calculated based on on- demand data analysis means comprises a factor analysis configuration module , a data extraction module , analysis factor calculation module , data analysis processing module , and the results of the analysis module .
本发明 提供 一种 新 的 核聚变 方法 , 它 通过 控制 核子 或 电子 的 动能 和 密度 及 入射光 的 电场 强度 和 频率 来 控制 核聚变 。 ||| the present invention provides a new method of nuclear fusion through controlling the kinetic energy of the nuclear or electron density and the incident light and the electric field intensity and frequency to control the fusion .
像素 阵列 区 包括 阵列 排布 的 像素 单元 , 光源 产生 的 光束 入射 像素 阵列 区 后 , 经过 多级 光路 切换 开关 路由 , 从 像素 单元 中出 射 成像 。 ||| the pixel array region comprising an array of pixel cells arranged in the incident light beam , the light source generates a pixel array area , after passing through the multi- stage optical path switching switch routing , imaging exit from the pixel cell .
本发明 公开 了 一种 数据 预 取 方法 及 系统 , 克服 现有 技术 未 很 好 地 将 预 执行 和 跨距 预 取 融合 的 不足 。 ||| the present invention discloses a method and system data prefetching , overcome the prior art not very well in the pre- execution and span prefetch fusion deficiency .
一种 虚拟 资源管理 方法 、 系统 及 设备 , 应用 于 通信 技术 领域 。 ||| a virtual resource management methods , systems , and apparatus used in the communication art .
本发明 能够 降低 系统 复杂度 , 精度 受 环境影响 尤其 是 光线 的 影响 较 小 。 ||| the present invention can reduce system complexity , accuracy from environmental effects , in particular , the effect of the light is relatively small .
本发明 适用 于 在 浏览 当前 网页 时 预 取 可能 访问 的 其他 网页 。 ||| in the present invention is applicable to prefetch the current web page browsing may have access to other web pages .
公开 了 一种 电子设备 及其 功能 控制 方法 。 ||| discloses an electronic device and its function control method .
采用 本发明 的 平台 及 方法 , 能 对 各种 服务 或 业务 应用 的 插件 进行 管理 , 方便 用户 使用 智能 终端 借助 浏览器 实现 的 各种 服务 和 业务 应用 功能 , 且 节约 网络带宽 和 网络流量 。 ||| using the method of the present invention , the platform and to the various service or a service application plug- in is managed using the convenience of the user of the intelligent terminal by means of the browser implements various services and service application functions , and conserve network bandwidth and network traffic .
公开 了 一种 安卓 系统 下 的 固件 升级 方法 及 系统 。 ||| discloses a system under 安卓 the firmware upgrade method and system .
本发明 可 用于 光通信 中 。 ||| in the present invention may be used for optical communication .
本 实用新型 的 同步 光笔 电子白板 系统 在 信号 接收 装置 中 引入 了 具有 全局 快门 的 图像 传感器 , 光笔 脉冲 发光 , 并且 引入 同步 信号 发射器 和 同步 信号 接收器 , 通过 同步 信号 使 光笔 的 脉冲 发光 与 图像 传感器 的 曝光 时间 相 重合 , 从而 达到 提高 信噪比 的 目的 。 ||| the present invention light pen of the electronic whiteboard system synchronization signal receiving device is introduced with a global shutter of an image sensor , the pen light pulse emitting , and introducing a synchronization signal transmitter and receiver synchronization signal , the synchronization signal by a pulsed light- emitting stylus with an exposure time of the image sensor coincide , so as to achieve the object of improving the signal- to- noise ratio .
本发明 公开 了 一种 应用程序 加载 的 方法 , 该 方法 包括 : M2M 终端 模组 上 电 初始化 后 , 启动 应用程序 管理器 ; 应用程序 管理器 接收 加载 应用程序 指令 , 创建 加载 线程 ; 加载 线程 根据 加载 应用程序 指令 , 加载 应用程序 , 应用 程序执行 完成 后 , 结束 加载 线程 。 ||| the present invention discloses a method of application is loaded , the method comprising : the m2m termination module is initiated after power- up initialization , the application manager ; the application manager receives instructions to load the application load thread ; a load thread is created according to the loading the application instructions to load the application , the application execution is completed , the end load thread .
通过 本发明 实施 例 提供 的 方法 和 装置 , 可以 动态 调整 时钟 中断 周期 , 使得 处理器 在 运行 状态 中 使用 的 时钟 中断 周期 具有 灵活性 , 便于 根据 需要 来 使用 不同 的 时钟 中断 周期 。 ||| provided by embodiments of the present invention , a method and apparatus for the clock interrupt period may be dynamically adjusted so that processor , in the operating state of the clock used in the interrupt period has the flexibility to facilitate according to the need to use a different clock interrupt period .
本发明 可以 提高 查询 效率 , 保证 查询 成功 。 ||| the invention can increase the efficiency of the query , to ensure that the query is successful .
本发明 实施 例 可以 在 结果 集中 直观 的 显示 实体 的 排序 属性 值 , 从而 可以 获知 实体 出现 在 某个 位置 的 原因 , 满足 应用 的 需求 , 方便 应用 对 排序 结果 进行 进一步 的 处理 。 ||| embodiments of the present invention may be in the result set of the visual display entities ordering attribute value , so as to be physically present at a location known , for reasons which satisfy the requirements of the application , application for convenient ordering results for further processing .
本发明 公开 了 一种 基于 射频 识别系统 的 通信 方法 、 装置 及 系统 , 用以 实现 射频 识别系统 中 电子标签 和 阅读器 之间 的 双向通信 , 并 节约 有源 电子标签 的 电池 能量消耗 , 保证 电子标签 和 阅读器 之间 通信 的 稳定性 。 ||| the present invention discloses a radio frequency identification system based on the communication method , apparatus , and system for radio frequency identification system implemented in a two- way communication between the electronic tag and a reader , and saving the battery power consumption of the active electronic label , ensuring that the electronic tag and the stability of the communication between the reader .
该 装置 包括 : 检测 模块 和 记录 模块 。 ||| the apparatus comprises : a detection module and a recording module .
触 控 位置 及 轨迹 获取 模块 、 控制 模块 及 文件创建 模块 分别 与 触 控 屏 连接 。 ||| a touch position and trajectory acquisition module , the control module , and a file creation module connected to the touch- sensitive screen , respectively .
本发明 通过 上述 方案 , 使 前景 画面 在 最终 显示 时 能够 按照 恒定 尺寸 呈现 , 当 固定 常数 = 1 时 , 还 能 以 原始 尺寸 呈现 , 提高 了 前景 画面 的 保真度 。 ||| the present invention by the above protocol , the foreground in the final picture is displayed according to a constant size can be presented , when a fixed constant = 1 , it is also capable of presenting to the original size , increases the foreground visual fidelity .
公开 了 一种 用于 压缩 原始 测试 文件 的 压缩 方法 。 ||| discloses a method for compression of the original test file compression method .
本发明 还 提供 一种 制造 SD 卡 尺寸 的 PCB 的 方法 , 包括 : 将 SDIO 端子 布置 在 该 PCB 的 一端 ; 将 天线 布置 在 远离 SDIO 端子 的 另一端 ; 将 射频 电路 设置 在 与 所述 天线 相邻 的 区域 。 ||| the invention further provides an sd card sizes of pcb manufacturing a method , comprising : transmitting an sdio terminals arranged at one end of the pcb ; the antenna disposed remote from the other end of the sdio terminals provided on the radio frequency circuit ; and a region adjacent the antenna .
一种 操作界面 管理 方法 、 装置 及 移动 终端 , 所述 方法 包括 : 接收 用户 输入 的 操作界面 调用 指令 , 生成 与 所述 操作界面 调用 指令 对应 的 操作界面 ; 接收 用户 根据 所述 操作界面 输入 的 功能 项 启动 指令 , 启动 所述 功能 项 启动 指令 指定 的 功能 项 。 ||| an operator interface management method , device , and a mobile terminal , the method comprising : receiving a user input interface operable to generate a call instruction , the operator interface call instructions corresponding to the operator interface , and to receive a user input interface operable according to the function of one start instruction , actuation of said function is one of the instructions specifies the function item is initiated .
阀芯 ( 41 ) 上 设置 有 第一 阀芯 通 液 管 ( 411 ) 和 第二 阀芯 通液 管 ( 412 ) , 阀体 外壳 ( 42 ) 上成 对 设置 有 第一 阀体 通 液 管 ( 421 ) 和 第二 阀体 通液 管 ( 422 ) 。 ||| the valve core ( 41 ) is provided with a first spool on catheter ( 411 ) and the second spool 通液 tube ( 412 ) , the valve body housing ( 42 ) are arranged in pairs on the first valve body through catheter ( 421 ) and a second valve body 通液 tube ( 422 ) .
本发明 还 公开 了 一种 数据 的 获取 装置 包括 : 数据 获取 请求 接收 模块 、 数据 标识 获取 模块 和 第一 数据 获取 模块 本发明 实施 例 根据 数据 的 选取 条件 , 确定 数据 的 标识 , 并 根据 所述 数据 标识 , 同时 获取 所有 与 所述 数据 标识 对应 的 数据 。 ||| the present invention also discloses a data acquisition device comprising : a data acquisition request identifying the receiving module , a data acquisition module and a first data acquisition module according to the embodiment of the present invention , the data of the selected conditions , and determines the identity of the data according to the data identification , while all the acquired data to identify a corresponding data .
本发明 公开 了 一种 终端 及其 进行 业务 处理 的 方法 , 终端 包括 : 分离 模块 , 设置 为 对 终端 的 体系结构 进行 UI 分离 ; 应用 模块 , 设置 为 处理 UI 分离 后 的 应用 ; 显示 模块 , 设置 为 处理 UI 分离 后 的 显示 。 ||| the present invention discloses a terminal , and a method for service processing , the terminal comprising : a separation module , is set to the terminal from the architecture for the ui separation ; application modules that are configured to process the ui of the separated application ; the display module , arranged to process after the separation of the ui of the display .
本发明 通过 感 测 终端 在 两点 间 的 位移 , 并 根据 该 位移 控制 界面 内容 的 缩放 , 操作 简单 方便 , 不 繁琐 , 提高 缩放 的 效率 。 ||| by sensing the terminal in the present invention between two points , and the displacement of the displacement control interface according to the content of the scaling operation , it is not easy and convenient , cumbersome , increasing the efficiency of the scaling .
该 系统 在 保证 系统性 能及 可靠性 的 基础 上 , 提高 了 系统 互连 芯片组 协议 验证 覆盖率 , 降低 了 项目 验证 开销 。 ||| the system to ensure that the systemic performance and reliability , on the basis of an increase in system interconnect chipset protocol verifying coverage , reducing the item validation overhead .
本发明 公开 了 CUEDC2 蛋白质 在 制备 用于 乳腺癌 患者 内分泌 药物 治疗 预后 判断 及 乳腺癌 、 卵巢癌 等 肿瘤 诊断 的 诊断 剂 的 用途 , 该 诊断 剂 包含 CUEDC2 蛋白质 的 抗体 , 该 抗体 为 CUEDC2 蛋白质 的 单克隆 抗体 或 多 克隆 抗体 。 ||| the present invention discloses cuedc2 protein for use in the preparation of a drug for treating endocrine breast cancer patient prognosis and diagnosis of tumors of the breast , ovary , etc. the use of a diagnostic agent , the diagnostic agent comprises an antibody cuedc2 protein cuedc2 protein , the antibody is a monoclonal antibody or a polyclonal antibody .
激光 投影 光源 模块 的 消散 斑 效果 能够 得以 提高 。 ||| the laser projection light source module dissipation of the speckle effect can be enhanced .
其中 , 所述 基于 并行处理 的 信息 文件 生成 系统 包括 : 文件 请求 处理 装置 、 控制 装置 、 临时 任务 处理 装置 、 异常 处理 装置 和 输入 / 输出 装置 。 ||| wherein , on the basis of the parallel processing of the information file generation system comprising : a file request processing means , control means , a temporary task processing device , exception handling device , and an input / output device .
本发明 实施 例 公开 了 一种 账单 代付 管理 方法 、 装置 及 系统 , 其中 方法 具体 包括 步骤 : 接收 请求 端 发送 的 第一 用户 识别 应用 发展 工具 STK 账单 代付 请求 ; 对 第一 STK 账单 代付 请求 进行 校验 ; 根据 校验 结果 下发 第二 STK 账单 代付 请求 至 代付 端 。 ||| embodiments of the present invention discloses a bill 代付 management method , apparatus , and system specific , wherein the method comprises the steps of : receiving a request for a first end sends the user identification application development tool stk bill 代付 request ; the first stk bill 代付 request according to the check result ; a check is made to transmit the request to a second stk bill 代付 代付 end .
本发明 还 提供 另 一种 主板 设备 检测 方法 、 以及 相应 的 主板 设备 的 检测 装置 、 主板 设备 的 检测 控制 装置 和 主板 设备 的 检测 系统 。 ||| the present invention also provides another motherboard device detection method , as well as the corresponding motherboard device of a motherboard device detecting means , control means and the motherboard device detecting a detection system .
本发明 还 公开 了 一种 好友 通知 装置 , 该 方法 和 装置 能够 使 用户 在 文章 发表 后 , 无须 单独 编写 和 发送 通知 内容 , 极大 简化 了 用户 操作 。 ||| the present invention also discloses a buddy notification means , the method and device enables a user to navigate in the article published without separate after sending a notification , the content is written and greatly simplifies the operation of the user .
本发明 公开 一种 信号处理 方法 、 装置 以及 SERDES 和 处理器 , 涉及 信号处理 技术 领域 。 ||| the present invention discloses a signal processing methods , apparatus , and the serdes and processor , relates to a signal processing art .
在 本发明 中 , 用户 只要 输入 操作界面 调用 指令 , 即可 生成 对应 的 操作界面 , 依据 该 操作界面 即可 输入 对应 的 功能 项 启动 指令 , 从而 可以 快速 、 准确 、 高效 启动 目标 功能 项 。 ||| in the present invention , as long as the user input interface operable to produce the corresponding call instruction , i.e. an operator interface , according to the operator interface can enter the function corresponding to one start instruction , so that a rapid , accurate and efficient starts a target function item .
本发明 公开 了 一种 内存 监控 方法 及 装置 , 该 方法 包括 : 将 需要 监控 的 内存地址 放入 调试 页 中 ; 在 CPU 对 所述 调试 页 中 内存地址 读写 时 , 则 触发 缺页 异常 指令 ; 在 确定 所述 缺页 异常 指令 是 由 访问 被 监控 的 内存地址 造成 时 , 采用 预定 调试 流程 对 所述 缺页 异常 指令 进行 处理 。 ||| the present invention discloses a memory monitoring method and apparatus , the method comprising : monitoring will need to be placed in the memory addresses of pages in the cpu debug ; for the debug pages in a read / write memory address , then trigger a page fault exception instructions ; determining the exceptional instruction in a page fault is to be monitored by the access to the memory addresses of a predetermined debugging scheme can be employed when the page fault exception instructions for processing .
用户 可以 根据 自己 的 使用 习惯 , 用 不同 的 指纹 和 / 或 动作 设置 启动 不同 的 功能 , 提高 了 电子设备 的 保密性 、 个人化 及 安全性 。 ||| the user may on its own , the convention used with different fingerprint and / or actions set a start up different functions , enhances the confidentiality of the electronic device , the personalized and security .
本发明 公开 了 一种 实现 多种 显示 模式 通用 图标 的 方法 及 装置 。 ||| the present invention discloses a generic icon to implement multiple display mode , a method and apparatus .
一种 工作 时钟 切换 方法 、 智能 门控 电路 和 系统 , 所述 方法 包括 : 对 主设备 发送 的 信号 进行 检测 ; 当 检测 到 所述 主设备 向 从 设备 发送 访问 信号 时 , 将 所述 从 设备 的 工作 时钟 频率 提高 。 ||| an operating clock gating circuit intelligent switching method , and system , the method comprising : the master device transmits a signal for detection , when detecting that the master device sends an access signal to the slave device , the slave device when the operating clock frequency is increased .
本发明 公开 了 一种 移动 终端 的 信息 保存 方法 , 包括 : 接收 到 新 信息 ; 如 判断 该 新 信息 不能 保存 到 为 该 新 信息 所属 信息 类型 预 分配 的 保存 空间 , 但 能够 保存 到 扩展 空间 时 , 将 该 新 信息 保存 在 扩展 空间 中 。 ||| the present invention discloses a method of a mobile terminal , comprising : storing information received by the new information ; such as it is determined that the new information cannot be saved for the new information belongs to the type of information pre- assigned save space , but the expansion space can be saved to the new information is saved in the expansion space .
通过 本发明 , 可以 在 不 经过 对 数据 卡 的 所有 端口 进行 轮询 的 情况 下 即可 识别 数据 卡 的 各个 端口 , 提高 了 工作效率 。 ||| by the present invention , may be in the data card that does not undergo a poll all ports of the identification data in the case where the individual ports of the card , to improve the working efficiency .
本发明 在 没有 足够 的 预 分配 保存 空间 保存 新 信息 时 , 通过 将 新 信息 保存 在 扩展 空间 中 , 解决 了 新 信息 无法 接收 和 保存 的 问题 , 降低 了 信息 丢失 的 概率 , 改善 了 用户 体验 。 ||| in the present invention does not have enough space to a pre- assigned to save the new information is stored by the new information stored in the expansion space , to solve the new information is not received and stored , the problem reduces the probability of a loss of information , to improve the user experience .
按照 该 方法 与 装置 , 能够 自动检测 临床 医生 的 关注点 , 然后 给 成像 系统 提供 更 精确 的 反馈 , 使 成像 系统 中 的 剂量 管理 变得 更 有效率 , 从而 可以 获得 恒定 的 图像 质量 而 不 浪费 任何 剂量 , 进一步 优化 剂量 / IQ 性能 以及 系统 的 高效 使用 。 ||| according to this method and apparatus being capable of automatically detecting the clinician 's point of interest , and then to an imaging system to provide more accurate feedback , the imaging system a dose in more efficient management becomes constant , so that the image quality can be obtained without wasting any dose , to further optimize the dose / iq performance and the efficient use of the system .
该 测定方法 操作 简单 、 专属性 强 、 具有 优异 的 稳定性 、 精密度 、 重现 性 和 加 样 回收率 , 可 较 全面 的 检测 四磨汤 制剂 重 多种 主要 有效成分 , 从而 获得 科学合理 的 四磨汤 制剂 指纹图 谱 , 完整 准确 的 评价 四磨汤 制剂 的 有效性 、 安全性 、 稳定性 和 质量 均一 性 。 ||| the assay is simple to operate , 专属性 strong , has an excellent stability , precision , reproducibility and loading can be a complete recovery , the detection of the various major active ingredient 四磨汤 formulation weight , so as to obtain a 科学合理 四磨汤 formulation fingerprint 四磨汤 , complete and accurate evaluation of the effectiveness of a formulation , security , stability and quality uniformity .
提供 一种 背光 模块 及其 导光板 固定 构造 。 ||| for a backlight module and the light guide plate fixed configuration .
对 这类 系统 进行 模拟 时 , 远端 内存 访问 事件 的 模拟 对 模拟 效率 和 精度 起 着 重要 的 作用 。 ||| when the simulation is performed on such system , remote memory access event simulation of the analog efficiency and accuracy plays an important role .
采用 本发明 方法 , 能够 使 用户 在 不 需要 安装 管理软件 的 前提 下 , 正常 使用 无线 数据终端 业务 , 并且 利于 用户 数据 的 保存 。 ||| using the subject methods , enables a user to navigate in the management software does not need to install a prerequisite for normal traffic using a wireless data terminal , and facilitate the storage of user data .
根据 本发明 的 技术 方案 , 能够 实现 无线通讯 终端 的 免 驱动 免 UI 软件 的 绿色 使用 。 ||| the technical solution according to the present invention can be implemented is kept free from the wireless communications terminal of the drive is kept free from the ui software using a green .
该 测试 装置 包括 探针 ( 210 ) 、 外围 电路 ( 220 ) 、 特殊 功能 电路 ( 230 ) , 其中 外围 电路 和 特殊 功能 电路 分别 设置 在 不同 电路板 ( 240 、 250 ) 上 , 所述 外围 电路 和 特殊 功能 电路 均 与 所述 探针 电 连接 。 ||| the test apparatus comprises a probe ( 210 ) , a peripheral circuit ( 220 ) , a special function circuit ( 230 ) , wherein the peripheral circuitry and special functional circuits are respectively disposed on different circuit boards ( 240 , 250 ) , on the peripheral circuitry and special function circuit being electrically connected to said probe .
该 方法 包括 : 打开 网页 时 , 根据 当前 网页 和 预读 规则 获取 预读 链接 ; 读取 所述 预读 链接 指示 的 网页内容 。 ||| the method includes : opening the web page on the web page and , depending on the current acquired pre- reading rules pre- reading link ; reading the pre- reading linking indication of a web content .
当 龙芯 CPU 需要 和 一组 芯片组 进行 调试 时 , 把 与其 他 芯片组 的 连接 断掉 , 切换 灵活 节省 了 时间 和 成本 。 ||| when the cpu 龙芯 need and a set of chipset , the debugging of the broken connection with other chipset , the switching agile saves time and cost .
本发明 提供 了 一种 终端 软件 的 安装 方法 、 装置 和 系统 。 ||| the present invention provides a terminal software installation method , apparatus and system .
本发明 还 提供 一种 查看 设备 系统 状态 的 设备 。 ||| the present invention also provides a viewing device system states of the device .
通过 本发明 提供 的 方法 , 解决 了 在 BIOS 层 龙芯 CPU 和 AMD 桥 片 之间 的 地址映射 转换 问题 , pmon 中 DMA 设备 寻址 问题 , 龙芯 刀片 PCI 配置 空间 读写 问题 , 从 coreboot 到 pmon 的 移植 和 调试 问题 。 ||| a method provided by the present invention solves the bios layer 龙芯 cpu and amd bridge between the sheets in the address mapping conversion problem , pmon dma device to address the problem , 龙芯 blade pci configuration space to read and write the problem from the coreboot pmon engraftment and debug problems .
本发明 复 运算 单元 结构 简单 , 由 其 构成 并行处理 阵列 具有 高效 的 向量 处理 能力 , 以及 极 高 的 FFT 基 2 蝶形 运算 能力 。 ||| the present invention is structurally simple and complex arithmetic unit is constituted by a parallel processing array has a highly efficient vector processing capability , as well as a very high radix 2 fft butterfly capability .
本发明 进一步 公开 了 CUEDC2 基因 或 蛋白质 在 制备 肿瘤 治疗 药物 中 的 用途 , 即将 特异 抑制 CUEDC2 基因 \ 蛋白质 表达 或 活性 的 小 分子 物质 、 特异性 抗体 等 作为 治疗 药 , 恢复 耐药 肿瘤 对 药物 治疗 的 敏感性 。 ||| the present invention further discloses cuedc2 gene or protein in the manufacture of a medicament for the treatment of tumors that use cuedc2 gene \ protein to specifically inhibit the expression or activity of a small molecule material , specific antibodies , and the like , as a therapeutic agent for the treatment of drug resistant tumor recovery of sensitivity .
通过 根据 本发明 实施 例 的 在 混合 存储 环境 下 配置 存储设备 的 方法 和 系统 , 可以 实现 混合 存储 环境 下 多个 存储设备 与 多个 数据 对象 的 配置 , 通过 避免 人工 参与 而 降低 了 安全性 风险 , 并 提高 系统性 能 , 降低 系统 能耗 。 ||| according to embodiments of the present invention by the hybrid storage environment , a method and system for configuring the storage device , it is possible to implement the mixing environment with a plurality of storage devices for storing a plurality of data objects , the configuration of the manual intervention by avoiding the need to reduce the security risk , and to improve the system performance , reduced system power consumption .
由于 连接件 ( 2,3 ) 嵌入 光纤 连接器 本体 ( 1 ) 内 , 不会 占用 额外 的 空间 , 使得 该 多 联 光纤 连接器 的 结构紧凑 , 提高 了 光纤 的 连接 密度 。 ||| because the connecting members ( 2,3 ) are embedded in the optical fiber connector body ( 1 ) , does not take up additional space , so that the cascade of the fiber optic connector is compact , increases the density of the fiber is attached .
本发明 涉 计算机技术 领域 , 尤其 涉及 一种 板卡 初始化 的 方法 及 装置 。 ||| the present invention relates to computer techniques. more particularly , relates to a method and apparatus for initializing a daughter card .
本发明 通过 使 NFC 手机 和 叫号 服务器进行 近距离 通信 , 使 叫号 服务器 记录 NFC 手机 的 NFC 手机号码 和 待 办理 业务 , 在 必要 的 时刻 及时 通知 用户 , 避免 了 因 用户 不在 现场 导致 未能 及时 办理 业务 的 情况 。 ||| by the present invention a nfc handset and 叫号 server for short- range communication , the nfc handset 叫号 server records to be mobile phone number and a nfc transaction service , after necessary moment in time due to alert a user that avoids the user is not in the field results in a case where a service fails to transact in time .
解决 了 节点 热插拔 过程 中 部分 不可 迁移 的 内存 无法 下线 、 丢失 数据 的 问题 , 并且 支持 单个 内存条 热插拔 。 ||| to solve the node during the hot plug portion of the memory not migratable cannot be taken off- line , the problem of lost data , and supports a single memory bank hot plug .
其中 , 所述 安全性 信息 交互 系统 包括 安全性 信息 交互 设备 , 所述 安全性 信息 交互 设备 用于 获取 用户 输入 的 安全性 信息 以及 从 外部 信息 携 载 装置 读取 的 信息 数据 , 并 通过 互联网 终端 建立 与 安全性 信息处理 网关 的 安全 通道 , 从而 完成 业务 功能 。 ||| wherein the security information comprises a security system of interaction information interaction device , said security information for the interactive device acquires the user input and the security information from an external information carries the information read by the device , and the data through the internet gateway with the terminal to establish a secure channel with the security information processing , thereby completing the service functions .
本发明 涉及 一种 虚拟 输入 方法 及 系统 , 包括 获取 输入 信息 的 信息 接收端 、 操作 输入 的 操作 端 、 所述 操作 端 进行 输入 的 操作 平面 及 进行 输入 控制 的 控制 单元 。 ||| the invention relates to a virtual input method and system , comprising : obtaining information of the input information , the operation of the receiving end , an operation input terminal , said operating end for the operation of the input plane and is input to the control of the control unit .
在 例如 NUMA 系统 的 多处理器 计算机系统 中 , 内存 分布 于 各 处理器 节点 , 处理器 访问 非 本地 节点 内存 的 时间延迟 远大于 访问 本地 节点 内存 的 时间延迟 。 ||| in , for example , numa system memory in a multiprocessor computer system , distributed on each processor node , the processor accesses the local node memory access is much greater than the time delay of the delay of the local node memory .
本发明 的 吸 波 超 材料 重量轻 、 厚度 薄 、 吸收 频带 宽 且 吸收率 较 高 。 ||| the microwave absorbing material of the present invention ultra lightweight , thin thickness , the absorption band is wide and absorption rate is relatively high .
本发明 的 方案 节省 了 对 存储设备 的 还原点 的 扇区 的 操作 时间 , 提高 计算机 的 性能 。 ||| the scheme of the present invention saves 还原点 sectors of the storage device , the operation time of the improved performance of the computer .
该 汉语 语音 情感 点 建模 方法 为 : 首先 根据 Fisher 比率 选择 语音 特征 训练 性别 识别 支持 向量 机 模型 ( SVM ) ; 其次 为 男声 和 女声 分别 建立 情感 点 隐 马尔科夫 模型 ( HMM ) , 并 根据 SVM 性别 识别 结果 选择 测 的 HMM 进行 情感 点 分类 。 ||| the chinese speech affective point modeling method is : first based on fisher ratios in sex selected training speech recognition models support vector machine ( svm ) ; followed by whispering and a female vocal sound affective points , respectively , to establish a hidden markov model ( hmm ) , and on the basis of the recognition result measured svm sex selected points of the hmm for mood classification .
公开 了 一种 密码保护 载体 生成 方法 和 装置 , 属于 数据安全 技术 领域 。 ||| discloses a password- protected carrier generation method and apparatus that belongs to the data security art .
公开 了 一种 配件 的 防伪 验证 、 配置 方法 及 无线 通讯设备 。 ||| discloses a fitting of a security verification , the configuration method and wireless communications .
本 方案 不仅 解决 了 混合 源 端口 ( 包括 时效性 端口 和 非 时效性 端口 ) 的 数据处理 问题 , 而且 还 大大提高 了 数据处理 的 效率 , 简化 了 目的 端口 的 设计 。 ||| this scheme is not only addresses the mixing the source port ( including the time period sensitive item port and the time period sensitive item port ) of the data processing problems , but also greatly increased the efficiency of data processing , which simplifies the design of the destination port .
本发明 提出 一种 无线通信 终端 及其 驱动 方法 。 ||| the present invention proposes a wireless communication terminal and a driving method thereof .
